,match_id,game_mode,queue_id,platform_id,game_duration_in_ms,game_duration_in_min,win,surrender,total_blue_kills,total_red_kills,total_blue_assists,total_red_assists,total_blue_gold_earned,total_red_gold_earned,total_blue_minions_killed,total_red_minions_killed,total_blue_turret_kills,total_red_turret_kills,total_blue_dragon_kills,total_red_dragon_kills,total_blue_damage_dealt_to_champions,total_red_damage_dealt_to_champions,total_blue_baron_kills,total_red_baron_kills,avg_blue_champ_level,avg_red_champ_level,total_blue_inhibitor_kills,total_red_inhibitor_kills,total_blue_items_purchased,total_red_items_purchased
2050,EUN1_3570744882,CLASSIC,420,EUN1,2044,34.07,blue,False,37,39,57,79,70730,68373,718,699,9,3,3,2,189252,149114,1,1,16.4,16.2,3,0,114,118
2051,EUN1_3536380803,CLASSIC,420,EUN1,1723,28.72,blue,False,37,31,63,48,63829,56676,578,640,10,2,2,2,122699,91076,2,0,15.0,14.0,3,0,116,114
2052,EUN1_3573571781,CLASSIC,420,EUN1,1834,30.57,blue,False,35,27,42,28,67538,61141,760,737,10,6,1,3,125278,123478,1,0,16.2,15.2,3,0,99,114
2053,EUN1_3533339219,CLASSIC,420,EUN1,1713,28.55,blue,True,41,37,76,47,66028,58493,623,580,7,4,1,3,102671,97149,1,0,15.6,14.4,1,0,102,139
2054,EUN1_3575527296,CLASSIC,420,EUN1,1335,22.25,red,False,13,36,11,58,35789,50249,429,499,1,8,2,1,45670,78452,0,1,11.0,12.8,0,1,86,85
2055,EUN1_3587110076,CLASSIC,420,EUN1,1566,26.1,red,False,19,36,24,46,48727,62861,608,625,3,11,1,3,86149,106677,0,1,13.8,15.2,0,2,87,102
2056,EUN1_3589884886,CLASSIC,420,EUN1,1928,32.13,red,False,20,36,29,61,57414,69896,737,728,4,11,3,2,125382,128818,0,2,15.0,16.6,0,3,101,127
2057,EUN1_3583387264,CLASSIC,420,EUN1,2317,38.62,blue,True,49,44,95,65,83233,78051,809,696,4,8,3,3,169410,171306,2,1,17.8,17.2,1,2,145,120
2058,EUN1_3584624444,CLASSIC,420,EUN1,1824,30.4,blue,True,41,35,66,49,63061,60382,579,599,4,5,4,0,124725,121167,1,0,15.6,14.6,1,1,114,114
2059,EUN1_3568943669,CLASSIC,420,EUN1,1768,29.47,red,False,22,24,39,29,51066,60921,621,698,1,11,1,2,97602,105596,0,2,13.8,15.2,0,3,115,101
2060,EUN1_3591941762,CLASSIC,420,EUN1,1724,28.73,blue,False,31,22,58,20,60375,52977,667,649,10,4,3,1,100756,77726,1,0,15.6,14.4,2,0,107,107
2061,EUN1_3578906817,CLASSIC,420,EUN1,1662,27.7,red,True,39,43,36,45,56924,60316,540,588,3,7,0,3,93289,103120,0,0,14.2,14.2,0,1,115,98
2062,EUN1_3571613998,CLASSIC,420,EUN1,1693,28.22,red,False,29,32,46,50,55150,60923,584,623,4,9,3,0,92358,112348,0,1,13.8,14.8,0,1,114,109
2063,EUN1_3575615504,CLASSIC,420,EUN1,1042,17.37,red,False,10,31,16,35,28791,43021,342,426,0,9,0,2,38692,67190,0,0,9.8,11.4,0,1,74,81
